event_id,user_id,session_id,event_ts,event_type,item_id,soft_delta,hard_delta,revenue_usd,txn_id
e_ef9d2fffbf0d,u_00001,s_b29b0580b465,2024-02-10 12:47:44,earn_soft,,61,0,0.0,
e_972b27f59580,u_00001,s_b29b0580b465,2024-02-10 12:48:29,spend_soft,item_001,-50,0,0.0,
e_d0bc56b68113,u_00001,s_46d1dd440e1b,2024-02-10 13:23:45,earn_soft,,61,0,0.0,
e_e5ade17fc4c3,u_00001,s_5ecf2210fbb9,2024-02-11 09:38:41,earn_soft,,92,0,0.0,
e_fff16dfdfd11,u_00001,s_4d2249ff5cb7,2024-02-11 14:18:47,earn_soft,,73,0,0.0,
e_55693581af02,u_00001,s_b03c2d50b0ac,2024-02-11 17:59:37,earn_soft,,39,0,0.0,
e_0ba142e0af2f,u_00001,s_18394e7d0cad,2024-02-12 14:01:45,earn_soft,,46,0,0.0,
e_dc2574668287,u_00001,s_0fd0796324e3,2024-02-15 15:42:57,earn_soft,,75,0,0.0,
e_ba0f5d9f5a45,u_00001,s_e140fef7d412,2024-03-06 07:04:57,earn_soft,,90,0,0.0,
e_62f23a091ee2,u_00001,s_e140fef7d412,2024-03-06 07:04:42,spend_soft,item_003,-100,0,0.0,
e_41a62cb33f60,u_00001,s_06143de3210c,2024-03-06 12:30:06,earn_soft,,41,0,0.0,
e_a1acd606cf6b,u_00001,s_38bc6394925e,2024-03-11 14:05:52,earn_soft,,97,0,0.0,
e_c1249136c59f,u_00001,s_338295a7bef7,2024-03-13 06:23:49,earn_soft,,82,0,0.0,
e_eb1bd2912e4d,u_00001,s_338295a7bef7,2024-03-13 06:24:13,spend_soft,item_002,-75,0,0.0,
e_050a3ba991df,u_00002,s_ba9fefb1c592,2024-01-07 20:26:06,earn_soft,,66,0,0.0,
e_2278c516aec8,u_00002,s_ba9fefb1c592,2024-01-07 20:27:33,spend_soft,item_003,-100,0,0.0,
e_c45f002b8743,u_00002,s_1bdf7baa3c64,2024-01-09 10:51:07,earn_soft,,16,0,0.0,
e_e9679dbf2f82,u_00002,s_1bdf7baa3c64,2024-01-09 10:52:00,spend_soft,item_002,-75,0,0.0,
e_c2c4c8a633b8,u_00002,s_85a64f78a7b5,2024-01-09 16:50:21,earn_soft,,45,0,0.0,
e_0c2695598450,u_00002,s_0d1210d77934,2024-01-11 07:30:14,earn_soft,,95,0,0.0,
e_81d951d27607,u_00002,s_0d1210d77934,2024-01-11 07:32:59,spend_soft,item_004,-500,0,0.0,
e_8cdef69facf0,u_00002,s_ea3e8ab4a922,2024-01-11 07:42:50,earn_soft,,44,0,0.0,
e_d544d608b316,u_00002,s_ea3e8ab4a922,2024-01-11 07:45:38,spend_soft,item_002,-75,0,0.0,
e_e2d9f7301a66,u_00002,s_1bf333520134,2024-01-11 19:45:38,earn_soft,,53,0,0.0,
e_5a524a845731,u_00002,s_1bf333520134,2024-01-11 19:47:05,spend_soft,item_001,-50,0,0.0,
e_94bb2b480d87,u_00002,s_37a038bfc180,2024-01-12 07:46:57,earn_soft,,45,0,0.0,
e_2c91d390c4fe,u_00002,s_37a038bfc180,2024-01-12 07:49:14,spend_soft,item_002,-75,0,0.0,
e_d2e29a163522,u_00002,s_235ef8b65400,2024-01-12 14:29:36,spend_soft,item_001,-50,0,0.0,
e_92ac663c755b,u_00002,s_dea117702300,2024-01-12 18:48:21,earn_soft,,54,0,0.0,
e_ef28bcdb3570,u_00002,s_dea117702300,2024-01-12 18:48:52,spend_soft,item_001,-50,0,0.0,
e_74a62be76348,u_00002,s_223a588b8ef4,2024-02-04 13:10:42,earn_soft,,10,0,0.0,
e_0eab03a7dc2c,u_00002,s_c13900383668,2024-02-04 20:34:38,spend_soft,item_004,-500,0,0.0,
e_d9264c286de7,u_00002,s_5343f214024b,2024-02-07 07:58:10,earn_soft,,50,0,0.0,
e_1c3f4a7f83fe,u_00002,s_5343f214024b,2024-02-07 08:00:03,spend_soft,item_001,-50,0,0.0,
e_d2f5215f4eab,u_00002,s_253261529dad,2024-02-24 08:07:47,earn_soft,,44,0,0.0,
e_ba67610bbe2d,u_00002,s_253261529dad,2024-02-24 08:10:33,spend_soft,item_003,-100,0,0.0,
e_0c1606b53444,u_00002,s_f054150c3226,2024-03-12 13:03:01,earn_soft,,15,0,0.0,
e_ce4c4b608ad0,u_00002,s_c40ef25d370d,2024-03-12 13:56:36,earn_soft,,45,0,0.0,
e_a878426ed4c6,u_00002,s_800a9e67c719,2024-03-14 12:46:38,earn_soft,,46,0,0.0,
e_494b3b504c01,u_00002,s_800a9e67c719,2024-03-14 12:49:10,spend_soft,item_003,-100,0,0.0,
e_48d0122962eb,u_00003,s_5d9122d4c63b,2024-01-02 16:49:11,earn_soft,,99,0,0.0,
e_6b3aa8a9a2f6,u_00003,s_5d9122d4c63b,2024-01-02 16:50:46,spend_soft,item_003,-100,0,0.0,
e_46b2f5ea0f98,u_00003,s_d870411290b3,2024-01-02 21:32:35,spend_soft,item_003,-100,0,0.0,
e_a2d568a437ba,u_00003,s_622380f7f700,2024-01-04 21:26:47,earn_soft,,46,0,0.0,
e_952954b71baa,u_00003,s_622380f7f700,2024-01-04 21:26:34,spend_soft,item_001,-50,0,0.0,
e_f83e8e563463,u_00003,s_7f9274a1acc8,2024-01-10 16:22:10,earn_soft,,81,0,0.0,
e_00e64b245622,u_00003,s_7f9274a1acc8,2024-01-10 16:23:43,spend_soft,item_001,-50,0,0.0,
e_f8c8af838db1,u_00003,s_d986f554a95e,2024-01-12 11:51:55,earn_soft,,11,0,0.0,
e_46f84276525e,u_00003,s_73383a658eae,2024-01-13 16:28:35,earn_soft,,88,0,0.0,
e_0ae07ef58d1b,u_00003,s_3d1bc7ced7a6,2024-01-26 14:55:42,earn_soft,,98,0,0.0,
e_583a4c111eb5,u_00003,s_945da609dae8,2024-02-16 06:34:27,spend_soft,item_004,-500,0,0.0,
e_a5486a05484a,u_00003,s_bd1916cae51f,2024-02-16 09:17:54,earn_soft,,37,0,0.0,
e_160c858a8ce6,u_00003,s_bd1916cae51f,2024-02-16 09:20:03,spend_soft,item_001,-50,0,0.0,
e_53808514554c,u_00003,s_5ea83289dfbb,2024-02-16 16:21:54,earn_soft,,50,0,0.0,
e_f543968c27d7,u_00003,s_453cebc27848,2024-02-17 12:13:49,earn_soft,,60,0,0.0,
e_0eb15232130c,u_00003,s_453cebc27848,2024-02-17 12:16:39,spend_soft,item_003,-100,0,0.0,
e_908e99237c67,u_00003,s_96b93fa7d12e,2024-02-24 11:36:21,earn_soft,,44,0,0.0,
e_a6fc1388b857,u_00003,s_96b93fa7d12e,2024-02-24 11:39:38,spend_soft,item_002,-75,0,0.0,
e_309ea890dabb,u_00003,s_9f43688542fe,2024-03-12 17:48:57,earn_soft,,51,0,0.0,
e_7343c10a16c4,u_00003,s_9f43688542fe,2024-03-12 17:52:50,spend_soft,item_001,-50,0,0.0,
e_34d4e013785e,u_00004,s_5b07d266b329,2024-02-15 10:11:35,earn_soft,,39,0,0.0,
e_510ea8b74621,u_00004,s_5b07d266b329,2024-02-15 10:12:48,spend_soft,item_001,-50,0,0.0,
e_5d8bb58e1053,u_00004,s_fec537b8c6a0,2024-02-15 12:06:39,earn_soft,,53,0,0.0,
e_48a6ce4172b5,u_00004,s_d67c791c4b67,2024-02-16 19:19:05,earn_soft,,87,0,0.0,
e_3266fa44ceaa,u_00004,s_d67c791c4b67,2024-02-16 19:21:41,spend_soft,item_003,-100,0,0.0,
e_ecce756bec70,u_00004,s_8909c1dbc946,2024-03-19 17:44:45,earn_soft,,17,0,0.0,
e_fb2472726784,u_00004,s_8909c1dbc946,2024-03-19 17:48:31,spend_soft,item_003,-100,0,0.0,
e_b0a56185766d,u_00004,s_d1c33c4afc74,2024-03-21 13:56:44,earn_soft,,20,0,0.0,
e_429aa6d67928,u_00004,s_d1c33c4afc74,2024-03-21 14:00:07,spend_soft,item_001,-50,0,0.0,
e_e6800429a46a,u_00004,s_b0e0c283b421,2024-03-29 09:58:44,earn_soft,,66,0,0.0,
e_52c24ff021e0,u_00004,s_b0e0c283b421,2024-03-29 10:02:20,spend_soft,item_001,-50,0,0.0,
e_fbbd9584c592,u_00005,s_8cf281e4cb8b,2024-02-21 10:42:50,earn_soft,,48,0,0.0,
e_2ed6064c5ffb,u_00005,s_8cf281e4cb8b,2024-02-21 10:45:54,spend_soft,item_004,-500,0,0.0,
e_3485eeb3416f,u_00005,s_794fb1daef67,2024-02-21 11:24:42,earn_soft,,10,0,0.0,
e_4bd06c6bb6fc,u_00005,s_794fb1daef67,2024-02-21 11:28:55,spend_soft,item_003,-100,0,0.0,
e_2843a0ae0511,u_00005,s_28c85e501b36,2024-02-22 11:21:24,spend_soft,item_003,-100,0,0.0,
e_ccc10a409534,u_00005,s_10c3c0d5af7a,2024-02-25 11:06:28,earn_soft,,57,0,0.0,
