session_id,user_id,session_start_ts,session_end_ts,session_number
s_b29b0580b465,u_00001,2024-02-10 12:46:00,2024-02-10 12:51:00,1
s_46d1dd440e1b,u_00001,2024-02-10 13:23:00,2024-02-10 13:28:00,2
s_eb7b7522b113,u_00001,2024-02-10 19:06:00,2024-02-10 19:11:00,3
s_5ecf2210fbb9,u_00001,2024-02-11 09:37:00,2024-02-11 09:57:00,4
s_4d2249ff5cb7,u_00001,2024-02-11 14:17:00,2024-02-11 14:22:00,5
s_b03c2d50b0ac,u_00001,2024-02-11 17:59:00,2024-02-11 18:09:00,6
s_18394e7d0cad,u_00001,2024-02-12 14:01:00,2024-02-12 14:06:00,7
s_0fd0796324e3,u_00001,2024-02-15 15:41:00,2024-02-15 15:43:00,8
s_e140fef7d412,u_00001,2024-03-06 07:03:00,2024-03-06 07:43:00,9
s_06143de3210c,u_00001,2024-03-06 12:29:00,2024-03-06 12:39:00,10
s_38bc6394925e,u_00001,2024-03-11 14:04:00,2024-03-11 14:09:00,11
s_338295a7bef7,u_00001,2024-03-13 06:23:00,2024-03-13 07:23:00,12
s_ba9fefb1c592,u_00002,2024-01-07 20:25:00,2024-01-07 20:45:00,1
s_1bdf7baa3c64,u_00002,2024-01-09 10:50:00,2024-01-09 11:10:00,2
s_85a64f78a7b5,u_00002,2024-01-09 16:49:00,2024-01-09 17:29:00,3
s_0d1210d77934,u_00002,2024-01-11 07:29:00,2024-01-11 07:49:00,4
s_ea3e8ab4a922,u_00002,2024-01-11 07:41:00,2024-01-11 07:43:00,5
s_1bf333520134,u_00002,2024-01-11 19:45:00,2024-01-11 19:47:00,6
s_37a038bfc180,u_00002,2024-01-12 07:46:00,2024-01-12 08:06:00,7
s_235ef8b65400,u_00002,2024-01-12 14:28:00,2024-01-12 15:08:00,8
s_dea117702300,u_00002,2024-01-12 18:47:00,2024-01-12 18:49:00,9
s_840e19979d59,u_00002,2024-01-21 15:55:00,2024-01-21 16:15:00,10
s_223a588b8ef4,u_00002,2024-02-04 13:10:00,2024-02-04 13:15:00,11
s_c13900383668,u_00002,2024-02-04 20:32:00,2024-02-04 20:52:00,12
s_5343f214024b,u_00002,2024-02-07 07:57:00,2024-02-07 08:02:00,13
s_253261529dad,u_00002,2024-02-24 08:07:00,2024-02-24 08:17:00,14
s_f054150c3226,u_00002,2024-03-12 13:02:00,2024-03-12 13:42:00,15
s_c40ef25d370d,u_00002,2024-03-12 13:55:00,2024-03-12 14:05:00,16
s_9649586a49af,u_00002,2024-03-14 06:07:00,2024-03-14 06:47:00,17
s_800a9e67c719,u_00002,2024-03-14 12:45:00,2024-03-14 13:05:00,18
s_5d9122d4c63b,u_00003,2024-01-02 16:48:00,2024-01-02 16:58:00,1
s_d870411290b3,u_00003,2024-01-02 21:30:00,2024-01-02 21:35:00,2
s_622380f7f700,u_00003,2024-01-04 21:25:00,2024-01-04 21:30:00,3
s_7f9274a1acc8,u_00003,2024-01-10 16:21:00,2024-01-10 17:01:00,4
s_d986f554a95e,u_00003,2024-01-12 11:51:00,2024-01-12 12:51:00,5
s_73383a658eae,u_00003,2024-01-13 16:28:00,2024-01-13 16:38:00,6
s_3d1bc7ced7a6,u_00003,2024-01-26 14:54:00,2024-01-26 15:14:00,7
s_945da609dae8,u_00003,2024-02-16 06:30:00,2024-02-16 06:40:00,8
s_bd1916cae51f,u_00003,2024-02-16 09:17:00,2024-02-16 09:27:00,9
s_5ea83289dfbb,u_00003,2024-02-16 16:20:00,2024-02-16 16:40:00,10
s_453cebc27848,u_00003,2024-02-17 12:13:00,2024-02-17 12:18:00,11
s_96b93fa7d12e,u_00003,2024-02-24 11:35:00,2024-02-24 11:40:00,12
s_9f43688542fe,u_00003,2024-03-12 17:48:00,2024-03-12 18:28:00,13
s_5b07d266b329,u_00004,2024-02-15 10:11:00,2024-02-15 10:13:00,1
s_fec537b8c6a0,u_00004,2024-02-15 12:06:00,2024-02-15 12:26:00,2
s_d67c791c4b67,u_00004,2024-02-16 19:18:00,2024-02-16 19:23:00,3
s_8909c1dbc946,u_00004,2024-03-19 17:44:00,2024-03-19 17:46:00,4
s_d1c33c4afc74,u_00004,2024-03-21 13:56:00,2024-03-21 14:06:00,5
s_b0e0c283b421,u_00004,2024-03-29 09:58:00,2024-03-29 10:08:00,6
s_8cf281e4cb8b,u_00005,2024-02-21 10:41:00,2024-02-21 11:01:00,1
s_794fb1daef67,u_00005,2024-02-21 11:24:00,2024-02-21 11:34:00,2
s_28c85e501b36,u_00005,2024-02-22 11:20:00,2024-02-22 11:30:00,3
s_10c3c0d5af7a,u_00005,2024-02-25 11:05:00,2024-02-25 11:25:00,4
s_4c9058689a83,u_00005,2024-03-01 20:29:00,2024-03-01 20:39:00,5
s_63fcbbef850b,u_00005,2024-03-27 12:22:00,2024-03-27 12:32:00,6
s_6abd0993efc8,u_00005,2024-03-27 20:23:00,2024-03-27 20:25:00,7
s_ac8ae7a3e40d,u_00005,2024-03-27 22:00:00,2024-03-27 22:02:00,8
s_f992f41d0141,u_00006,2024-01-18 08:48:00,2024-01-18 09:08:00,1
s_a5d9f3b986df,u_00006,2024-01-19 07:44:00,2024-01-19 07:49:00,2
s_bcfba0a17036,u_00006,2024-01-19 15:51:00,2024-01-19 16:31:00,3
s_c4c4f9014dec,u_00006,2024-01-19 17:03:00,2024-01-19 17:23:00,4
s_082842580ca2,u_00006,2024-01-20 21:15:00,2024-01-20 21:25:00,5
s_39e0531f97d6,u_00006,2024-01-24 14:07:00,2024-01-24 14:27:00,6
s_03e84d86052e,u_00006,2024-01-25 10:31:00,2024-01-25 10:36:00,7
s_d2f3f8830333,u_00006,2024-02-03 12:02:00,2024-02-03 12:12:00,8
s_5fb0d467b830,u_00006,2024-02-05 14:34:00,2024-02-05 14:44:00,9
s_9b4ce4376a56,u_00006,2024-03-10 13:31:00,2024-03-10 13:36:00,10
s_a1477afa5d42,u_00007,2024-01-07 16:55:00,2024-01-07 16:57:00,1
s_679e4dcfa307,u_00007,2024-01-07 18:25:00,2024-01-07 19:25:00,2
s_8bc3bd154dd7,u_00007,2024-01-08 08:25:00,2024-01-08 08:35:00,3
s_2184b8bc0453,u_00007,2024-01-08 17:15:00,2024-01-08 17:17:00,4
s_ddfb04f639d0,u_00007,2024-01-22 17:52:00,2024-01-22 18:52:00,5
s_e5c812400fd7,u_00007,2024-01-23 18:42:00,2024-01-23 18:44:00,6
s_da415e49ba98,u_00007,2024-01-25 07:50:00,2024-01-25 08:50:00,7
s_edccd712fda4,u_00007,2024-01-25 12:26:00,2024-01-25 13:06:00,8
s_9f41077389f9,u_00007,2024-01-25 16:54:00,2024-01-25 17:14:00,9
s_f7436715eba9,u_00007,2024-01-26 13:40:00,2024-01-26 13:50:00,10
s_a6e84485a6ea,u_00007,2024-01-26 20:57:00,2024-01-26 21:02:00,11
s_80e4dfacc984,u_00007,2024-01-31 11:39:00,2024-01-31 11:49:00,12
s_c85553f9e5f3,u_00007,2024-01-31 21:09:00,2024-01-31 21:19:00,13
s_1e417992a110,u_00007,2024-02-22 06:42:00,2024-02-22 06:52:00,14
s_37373fe36752,u_00007,2024-02-22 09:15:00,2024-02-22 09:35:00,15
